text,type,has_conditional
"If the statement and not the conclusion, then contradiction.",logical_conditional,True
"If P and not B, then contradiction.",logical_conditional,True
The team studies the report.,control,False
She reads and enjoys it.,control,False
"If it is cloudy, then we go to the beach.",simple_conditional,True
He writes and enjoys it.,control,False
"If The team sings and the weather is good, then The team will work.",complex_conditional,True
"If it is sunny, then we go to the beach.",simple_conditional,True
"Because of the weather, The student thinks.",control,False
"If The cat writes and the weather is good, then The cat will sing.",complex_conditional,True
"If the statement is true, then the conclusion is true.",logical_conditional,True
"If John plays and the weather is good, then John will read.",complex_conditional,True
"If She works and the weather is good, then She will play.",complex_conditional,True
"Because of the weather, He thinks.",control,False
"If the statement is true, then Y is true.",logical_conditional,True
"If it is cloudy, then we go to the beach.",simple_conditional,True
"If P and not the conclusion, then contradiction.",logical_conditional,True
She thinks and enjoys it.,control,False
"Because of the weather, The cat works.",control,False
"If it is windy, then we go to the beach.",simple_conditional,True
"If X or B, then at least one holds.",logical_conditional,True
"If X or Q, then at least one holds.",logical_conditional,True
"If it rains, then traffic increases.",simple_conditional,True
"If the statement and not the conclusion, then contradiction.",logical_conditional,True
"If John plays and the weather is good, then John will study.",complex_conditional,True
"Because of the weather, The student runs.",control,False
"Because of the weather, The team thinks.",control,False
"If it is sunny, then the picnic is canceled.",simple_conditional,True
He reads and enjoys it.,control,False
Mary sings the report.,control,False
"If the statement is true, then B is true.",logical_conditional,True
"If it is sunny, then we stay inside.",simple_conditional,True
"If it snows, then we go to the beach.",simple_conditional,True
"If A is true, then B is true.",logical_conditional,True
"If The team studies and the weather is good, then The team will study.",complex_conditional,True
John plays hard.,control,False
"If it is sunny, then the picnic is canceled.",simple_conditional,True
"Because of the weather, The student runs.",control,False
The student always works on weekdays.,control,False
"If He reads and the weather is good, then He will work.",complex_conditional,True
"Because of the weather, Mary studies.",control,False
"Because of the weather, The cat studies.",control,False
Mary sings a song.,control,False
"If it is cloudy, then traffic increases.",simple_conditional,True
"If X is true, then Q is true.",logical_conditional,True
Mary studies the game.,control,False
"If P and not B, then contradiction.",logical_conditional,True
They sings a song.,control,False
They always thinks on weekdays.,control,False
"If The cat sings and the weather is good, then The cat will run.",complex_conditional,True
Mary studies deeply.,control,False
He always thinks on weekdays.,control,False
"If A is true, then Y is true.",logical_conditional,True
She plays and enjoys it.,control,False
"If X or Y, then at least one holds.",logical_conditional,True
He works and enjoys it.,control,False
He thinks a song.,control,False
"If P or the conclusion, then at least one holds.",logical_conditional,True
"If A and not the conclusion, then contradiction.",logical_conditional,True
"Because of the weather, He works.",control,False
"If She reads and the weather is good, then She will study.",complex_conditional,True
"If X or Q, then at least one holds.",logical_conditional,True
John studies quickly.,control,False
"If it is cloudy, then school closes.",simple_conditional,True
He writes deeply.,control,False
The cat always sings on weekdays.,control,False
