text,type,has_conditional
Grocery stores stock their shelves with fresh produce.,control,False
"If a new trade agreement is signed, then the cost of certain goods may decrease.",predictive_conditional,True
"If the train arrives on time, then I'll be able to make it to the conference before it starts.",temporal_conditional,True
"If a new housing development is built, then property values in the surrounding area may increase.",predictive_conditional,True
"If you're in a crowded area, then you should be mindful of your surroundings and avoid bumping into or inconveniencing others.",social_conditional,True
"If someone holds the door for you, then you should say ""thank you"" to acknowledge their kindness.",social_conditional,True
"Clouds float across the sky, constantly changing shapes.",control,False
"If you eat a healthy, balanced diet, then you will have more energy and feel better.",causal_conditional,True
"If the stock market experiences a significant downturn, then investors may see a decline in their portfolio values.",predictive_conditional,True
"If a set is open, then its complement is closed.",logical_conditional,True
"If you don't clean up spills immediately, then they can cause damage or create a safety hazard.",causal_conditional,True
The flowers in the garden bloom in a variety of colors.,control,False
The teacher explains the lesson to the attentive students.,control,False
The family gathers around the table for a home-cooked meal.,control,False
"The rain pours down heavily, creating puddles on the sidewalk.",control,False
"The sound of a lawn mower cuts through the air, as residents maintain their well-groomed yards.",control,False
The waves crash against the rocks along the shoreline.,control,False
"The library shelves hold a wealth of knowledge, ready to be explored by curious readers.",control,False
Flowers bloom with vibrant colors in the springtime.,control,False
"If the new employee starts on Monday, then we'll need to schedule an orientation.",temporal_conditional,True
"The clock strikes the hour, marking the passage of time.",control,False
"If the flight is delayed, then I'll have to change my transportation arrangements.",temporal_conditional,True
"If a number is divisible by 3, then it is also divisible by 1.",logical_conditional,True
"If a new law is passed, then certain industries may be affected more than others.",predictive_conditional,True
"People wait in line at the grocery store, patiently taking their turn.",control,False
"If a popular celebrity endorses a product, then sales of that product are likely to increase.",predictive_conditional,True
"If a number is prime, then it has no positive divisors other than 1 and itself.",logical_conditional,True
"If you're invited to a potluck, then you should bring a dish that is ready to serve and labeled with any allergens.",social_conditional,True
"If a function is one-to-one, then it has an inverse function.",logical_conditional,True
Dishes clatter in the kitchen as someone prepares a home-cooked meal.,control,False
People commute to work using various modes of transportation.,control,False
"Families gather around the dinner table, sharing stories and laughter.",control,False
"If a new educational program is launched, then the job market for related fields may change.",predictive_conditional,True
The car needs to be refueled before the next long trip.,control,False
"If you exercise regularly, then you will improve your cardiovascular health.",causal_conditional,True
"The clock ticks steadily, marking the passage of time.",control,False
"If a triangle has three equal sides, then it is an equilateral triangle.",logical_conditional,True
The grocery store shelves are stocked with a wide selection of products.,control,False
The aroma of freshly baked bread fills the kitchen.,control,False
"If you don't pay your bills on time, then you may incur late fees or damage your credit score.",causal_conditional,True
"If you're running late for a meeting, then you should send a quick message to the organizer to inform them.",social_conditional,True
