text,type,has_quantifier,quantifier_type
"If you don't get enough sleep, then you will feel tired.",conditional,False,none
Every vehicle in the fleet must undergo regular maintenance.,restricted_universal,True,restricted universal
Every employee on the sales team must meet their quarterly sales quota.,restricted_universal,True,restricted universal
"If a quadrilateral has two pairs of parallel sides, then it is a parallelogram.",conditional,False,none
All visitors to the museum must follow the posted rules and regulations.,restricted_universal,True,restricted universal
"If you leave your phone at home, then you won't be able to call for help.",conditional,False,none
"If a number is divisible by 4, then it is also divisible by 2.",conditional,False,none
Clouds are made of water vapor.,generic_universal,True,generic universal
"If you take a vacation, then you will feel refreshed.",conditional,False,none
Every car has a steering wheel and pedals.,pure_universal,True,pure universal
Each planet in the solar system has a unique size and composition.,pure_universal,True,pure universal
All donors to the fundraiser must provide their contact information.,restricted_universal,True,restricted universal
Any computer connected to the network can access the shared files.,any_universal,True,any universal
"If you're feeling sick, then you should stay home and rest.",conditional,False,none
"If you win the lottery, then you can retire early.",conditional,False,none
"If you're feeling lonely, then you should reach out to friends or family.",conditional,False,none
All residents of the senior living community have access to recreational activities.,restricted_universal,True,restricted universal
Bridges connect two land masses.,generic_universal,True,generic universal
All employees in the finance department must have a background in accounting.,restricted_universal,True,restricted universal
No country in the world is entirely free from poverty.,negative_universal,True,negative universal
Every child in the daycare center must be signed in and out by a parent or guardian.,restricted_universal,True,restricted universal
"If you're interested in a career change, then you should research different options.",conditional,False,none
All humans need oxygen to breathe.,pure_universal,True,pure universal
Icebergs float on water.,generic_universal,True,generic universal
Ants live in colonies.,generic_universal,True,generic universal
Roots absorb water and nutrients.,generic_universal,True,generic universal
"If a triangle has two equal sides, then it is an isosceles triangle.",conditional,False,none
All attendees at the wedding must RSVP by the specified date.,restricted_universal,True,restricted universal
All roads lead to somewhere.,pure_universal,True,pure universal
Any recipe in this cookbook can be easily prepared at home.,any_universal,True,any universal
Every participant in the marathon must complete the course within a specified time limit.,restricted_universal,True,restricted universal
Snowflakes have a hexagonal shape.,generic_universal,True,generic universal
Each ocean has its own distinct ecosystem.,pure_universal,True,pure universal
"If you exercise regularly, then you will stay healthy.",conditional,False,none
Bees pollinate flowers.,generic_universal,True,generic universal
Every student in the school district must take the standardized test.,restricted_universal,True,restricted universal
Any tool in the toolbox can be used for the repair work.,any_universal,True,any universal
"If you leave the door open, then the cat will escape.",conditional,False,none
Cells are the basic units of life.,generic_universal,True,generic universal
None of the students brought their textbooks to the lecture.,negative_universal,True,negative universal
"If the bill is not paid on time, then the late fees will be applied.",conditional,False,none
Every country has a capital city.,pure_universal,True,pure universal
"If it rains, then the plants will get watered.",conditional,False,none
Nothing is impossible for those who try.,negative_universal,True,negative universal
"If you exercise regularly, then you will stay healthy.",conditional,False,none
No one in the class failed the exam.,negative_universal,True,negative universal
Each classroom has a teacher.,pure_universal,True,pure universal
"If you eat a balanced diet, then your body will function properly.",conditional,False,none
"If the internet connection is stable, then we can stream the movie without interruptions.",conditional,False,none
"If you're interested in learning a new language, then you should immerse yourself in it as much as possible.",conditional,False,none
"If you're feeling creative, then you should try a new hobby or project.",conditional,False,none
"If you study hard, then you will pass the exam.",conditional,False,none
All clocks have a mechanism to measure time.,pure_universal,True,pure universal
"If you eat too much, then you'll feel bloated.",conditional,False,none
Teeth are used for chewing food.,generic_universal,True,generic universal
All players on the basketball team must attend daily practice sessions.,restricted_universal,True,restricted universal
Nothing is more powerful than the human spirit.,negative_universal,True,negative universal
"If the computer freezes, then we need to restart it.",conditional,False,none
"If you're feeling stressed, then try practicing meditation.",conditional,False,none
Each day has 24 hours.,pure_universal,True,pure universal
"If you don't get enough sleep, then you'll feel tired the next day.",conditional,False,none
