text,type,has_quantifier,quantifier_type
The bridge spans the wide river.,control,False,none
"If the weather forecast predicts rain, then you should bring an umbrella.",conditional,False,none
Exams begin next Monday.,control,False,none
Every triangle has three sides and three angles.,pure_universal,True,pure universal
"If you leave your phone at home, then you won't be able to call for help.",conditional,False,none
Spiders spin webs to catch prey.,generic_universal,True,generic universal
Teeth are used for chewing food.,generic_universal,True,generic universal
The teacher explains concepts clearly.,control,False,none
"If you want to lose weight, then you should exercise and eat a balanced diet.",conditional,False,none
"If you're interested in a career change, then you should research different options.",conditional,False,none
Every child in the daycare center must be signed in and out by a parent or guardian.,restricted_universal,True,restricted universal
Bones provide structure for the body.,generic_universal,True,generic universal
"If the software update is successful, then the system will run more efficiently.",conditional,False,none
Fresh bread smells wonderful.,control,False,none
Birds migrate south for winter.,control,False,none
The doctor sees patients until five.,control,False,none
Stars shine brightly at night.,control,False,none
Each star in the night sky is a different distance from Earth.,pure_universal,True,pure universal
All living things need water to survive.,pure_universal,True,pure universal
Children eat lunch in the cafeteria.,control,False,none
Each member of the club must pay the annual membership fee.,restricted_universal,True,restricted universal
Shoppers browse through the aisles.,control,False,none
Passengers board the airplane quietly.,control,False,none
Every guest at the hotel is entitled to a complimentary breakfast.,restricted_universal,True,restricted universal
Any work of art displayed in the gallery can be purchased by the public.,any_universal,True,any universal
Each classroom has a teacher.,pure_universal,True,pure universal
All visitors to the museum must purchase a ticket.,restricted_universal,True,restricted universal
"If you're running late, then you should call ahead to let people know.",conditional,False,none
Children play in the playground.,control,False,none
The dentist examines teeth carefully.,control,False,none
Colorful paintings decorate the walls.,control,False,none
Every student in the class must complete the final project.,restricted_universal,True,restricted universal
She teaches mathematics at the university.,control,False,none
Shadows lengthen at sunset.,control,False,none
Tornadoes have a spiral shape.,generic_universal,True,generic universal
The seminar attracted many attendees.,control,False,none
The budget exceeds projections.,control,False,none
None of the students brought their textbooks to the lecture.,negative_universal,True,negative universal
Dark clouds gather overhead.,control,False,none
Nothing can replace the joy of a good night's sleep.,negative_universal,True,negative universal
"If you forget your umbrella, then you will get wet in the rain.",conditional,False,none
Nothing can stop the passage of time.,negative_universal,True,negative universal
"If the product is defective, then the customer can return it for a replacement.",conditional,False,none
"If you miss the bus, then you will be late for work.",conditional,False,none
The company announced record profits.,control,False,none
None of the natural disasters were expected.,negative_universal,True,negative universal
"If you don't wear a seatbelt, then you're at risk of injury in an accident.",conditional,False,none
"If the project deadline is extended, then the team can take more time to complete the work.",conditional,False,none
The athlete trains every day.,control,False,none
"If you're late for work, then your boss will be angry.",conditional,False,none
"If a triangle has two equal sides, then it is an isosceles triangle.",conditional,False,none
The fountain sparkles in sunlight.,control,False,none
The band played three encores.,control,False,none
Any book in this library can be borrowed for two weeks.,any_universal,True,any universal
Snow covered the mountain peaks.,control,False,none
The presentation went smoothly.,control,False,none
Nothing can replace the joy of a good friendship.,negative_universal,True,negative universal
Meditation reduces stress levels.,control,False,none
"If you're trying to save money, then you should create a budget and stick to it.",conditional,False,none
Homework takes several hours.,control,False,none
"If the package is delivered on time, then we can start the project as planned.",conditional,False,none
None of the decisions made by the committee were unanimous.,negative_universal,True,negative universal
Any mistake discovered in the financial records will be promptly corrected.,any_universal,True,any universal
Every speaker at the conference must adhere to the time limit.,restricted_universal,True,restricted universal
The mailman delivers letters daily.,control,False,none
"If you study hard, then you will pass the exam.",conditional,False,none
She speaks three languages fluently.,control,False,none
Any student who maintains a high GPA will be eligible for a scholarship.,any_universal,True,any universal
Every square has four equal sides.,pure_universal,True,pure universal
The sun sets behind the mountains.,control,False,none
Each person has a unique set of fingerprints.,pure_universal,True,pure universal
None of the flowers in the garden are native to this region.,negative_universal,True,negative universal
The students walk to class together.,control,False,none
Any recipe in this cookbook can be easily prepared at home.,any_universal,True,any universal
"If you leave the door open, then the cat will escape.",conditional,False,none
All players on the basketball team must attend daily practice sessions.,restricted_universal,True,restricted universal
Snowflakes have a hexagonal shape.,generic_universal,True,generic universal
All visitors to the art gallery must check their belongings at the entrance.,restricted_universal,True,restricted universal
"If you're looking to improve your fitness, then you should set realistic goals and track your progress.",conditional,False,none
Sunlight streams through the window.,control,False,none
Here are 40 varied conditional sentences using the if-then structure:,conditional,False,none
Fish swim in the aquarium.,control,False,none
All trees have roots that grow underground.,pure_universal,True,pure universal
Each day has 24 hours.,pure_universal,True,pure universal
"Here are 40 conditional sentences using the if-then structure, with a mix of causal, temporal, logical, and predictive conditions:",conditional,False,none
Each planet in the solar system has a unique size and composition.,pure_universal,True,pure universal
Moonlight illuminates the path.,control,False,none
Any sport played at the community center is open to all participants.,any_universal,True,any universal
All roads lead to somewhere.,pure_universal,True,pure universal
Any person who is interested in the job opening should submit their resume.,any_universal,True,any universal
All living organisms require energy to function.,pure_universal,True,pure universal
Sales increased last quarter.,control,False,none
"If the bill is not paid on time, then the late fees will be applied.",conditional,False,none
Any medicine prescribed by a doctor should be taken as directed.,any_universal,True,any universal
Vitamins support good health.,control,False,none
No country in the world is entirely free from poverty.,negative_universal,True,negative universal
"If you don't recycle, then the environment will suffer.",conditional,False,none
Rain falls gently on the roof.,control,False,none
Rainbows appear after a rainstorm.,generic_universal,True,generic universal
None of the ancient civilizations lasted forever.,negative_universal,True,negative universal
"If you eat too much, then you'll feel bloated.",conditional,False,none
Each family has its own traditions and customs.,pure_universal,True,pure universal
"If you get a good night's sleep, then you'll feel more energized in the morning.",conditional,False,none
The hospital treats emergencies.,control,False,none
"If the weather is sunny, then it's a good day to go to the beach.",conditional,False,none
The teacher writes on the whiteboard.,control,False,none
Scientists discovered a new species.,control,False,none
The restaurant serves Italian cuisine.,control,False,none
Music plays softly in the background.,control,False,none
"If the team wins the game, then they will advance to the next round.",conditional,False,none
Every athlete on the team must undergo drug testing.,restricted_universal,True,restricted universal
"If a number is prime, then it is only divisible by 1 and itself.",conditional,False,none
"If you don't pay your bills on time, then your credit score will suffer.",conditional,False,none
No employee at the company has a perfect attendance record.,negative_universal,True,negative universal
Graduation happens in May.,control,False,none
"If a number is divisible by 4, then it is also divisible by 2.",conditional,False,none
Every car has a steering wheel and pedals.,pure_universal,True,pure universal
All campers at the national park must obtain a permit.,restricted_universal,True,restricted universal
The concert hall seats thousands.,control,False,none
Tides are caused by the moon's gravity.,generic_universal,True,generic universal
Thunder rumbles in the distance.,control,False,none
Nothing is as valuable as a good education.,negative_universal,True,negative universal
"If you eat a balanced diet, then your body will function properly.",conditional,False,none
"If you're feeling creative, then you should try a new hobby or project.",conditional,False,none
Nurses work long shifts.,control,False,none
"If you turn off the lights, then the room will be dark.",conditional,False,none
Emails arrive throughout the day.,control,False,none
"If a number is divisible by 3, then it is also divisible by 9.",conditional,False,none
Every member of the sports team must attend the team banquet.,restricted_universal,True,restricted universal
Apples grow on trees.,generic_universal,True,generic universal
Dessert arrives after the meal.,control,False,none
Every customer at the restaurant must order a minimum of one item.,restricted_universal,True,restricted universal
Planets orbit around stars.,generic_universal,True,generic universal
Every tenant in the apartment building must follow the building's pet policy.,restricted_universal,True,restricted universal
Wind blows through the trees.,control,False,none
The exhibit closes next week.,control,False,none
The forecast predicts sunshine.,control,False,none
"If the door is locked, then we won't be able to enter the building.",conditional,False,none
The architect designs modern buildings.,control,False,none
All apples are fruit.,pure_universal,True,pure universal
No one can predict the future with certainty.,negative_universal,True,negative universal
Any customer who provides feedback will help us improve our services.,any_universal,True,any universal
Butterflies flutter in the garden.,control,False,none
The highway extends for miles.,control,False,none
"If the weather is nice, then we can go for a picnic.",conditional,False,none
Clouds are made of water vapor.,generic_universal,True,generic universal
Forests provide habitats for wildlife.,generic_universal,True,generic universal
"If the temperature drops below freezing, then the water will turn to ice.",conditional,False,none
Bicycles share the road.,control,False,none
Icebergs float on water.,generic_universal,True,generic universal
Sarah completed her assignment yesterday afternoon.,control,False,none
Volunteers cleaned the beach yesterday.,control,False,none
"If a circle has a larger radius, then it will have a larger circumference.",conditional,False,none
"If the sky is cloudy, then it might rain.",conditional,False,none
The bus runs every fifteen minutes.,control,False,none
The game ended in overtime.,control,False,none
Every sport has its own set of rules and regulations.,pure_universal,True,pure universal
Old books fill the shelves.,control,False,none
Magnets attract certain metals.,generic_universal,True,generic universal
Tom plays guitar in a local band.,control,False,none
The plane lands at the airport.,control,False,none
Lightning flashes across the sky.,control,False,none
Fans cheered for their team.,control,False,none
Nothing is more important than your health.,negative_universal,True,negative universal
"If you leave your phone at home, then you won't be able to contact anyone.",conditional,False,none
"If the car runs out of gas, then we will need to refill the tank.",conditional,False,none
Any product sold in our store is guaranteed to be of high quality.,any_universal,True,any universal
The chef prepares meals expertly.,control,False,none
All clocks have a mechanism to measure time.,pure_universal,True,pure universal
All residents of the neighborhood must comply with the local zoning regulations.,restricted_universal,True,restricted universal
The team won yesterday's game.,control,False,none
Protesters marched through downtown.,control,False,none
"If you're trying to quit a bad habit, then you should seek support and develop a plan.",conditional,False,none
Each planet in the solar system orbits the sun.,pure_universal,True,pure universal
Steam rises from hot coffee.,control,False,none
The festival attracts thousands yearly.,control,False,none
"If the stock market is volatile, then investors may experience significant gains or losses.",conditional,False,none
Roots absorb water and nutrients.,generic_universal,True,generic universal
Every student in the school district must take the standardized test.,restricted_universal,True,restricted universal
The river flows through the valley.,control,False,none
"If the temperature drops below freezing, then the water will turn to ice.",conditional,False,none
Coffee costs five dollars.,control,False,none
The baby sleeps peacefully.,control,False,none
Rivers flow towards the ocean.,generic_universal,True,generic universal
The drought continues for months.,control,False,none
Customers complain about delays.,control,False,none
Every volunteer at the charity event must sign in and out.,restricted_universal,True,restricted universal
Nothing can replace the love of a parent.,negative_universal,True,negative universal
Bridges connect two land masses.,generic_universal,True,generic universal
Any policy change will be communicated to all affected parties.,any_universal,True,any universal
The subway runs underground.,control,False,none
Any vehicle that exceeds the speed limit will be pulled over by the police.,any_universal,True,any universal
None of the planets in our solar system are habitable for humans.,negative_universal,True,negative universal
Clouds block the sun's rays.,generic_universal,True,generic universal
"If you wear sunscreen, then you'll be protected from harmful UV rays.",conditional,False,none
"If the new employee performs well, then they may receive a promotion.",conditional,False,none
"If it rains, then the plants will get watered.",conditional,False,none
The museum features ancient artifacts.,control,False,none
Dust settles on unused shelves.,control,False,none
The movie received mixed reviews.,control,False,none
The restaurant received excellent reviews.,control,False,none
"If you add baking soda to the mixture, then it will rise.",conditional,False,none
Every driver on the highway is required to obey traffic laws.,restricted_universal,True,restricted universal
The cat sleeps on the windowsill.,control,False,none
No music is better than the songs of nature.,negative_universal,True,negative universal
The laptop overheats during use.,control,False,none
