text,type,has_quantifier,quantifier_type
No one knows the true meaning of life.,negative_universal,True,negative universal
"If the investment is profitable, then we can expect a good return.",conditional,False,none
Clouds are made of water vapor.,generic_universal,True,generic universal
No child should go to bed hungry.,negative_universal,True,negative universal
Sunlight streams through the window.,control,False,none
Sunlight is necessary for photosynthesis.,generic_universal,True,generic universal
"If you eat too much, then you'll feel bloated.",conditional,False,none
"If you leave your phone at home, then you won't be able to call for help.",conditional,False,none
All visitors to the museum must purchase a ticket.,restricted_universal,True,restricted universal
Every employee in the office must use the designated break room.,restricted_universal,True,restricted universal
Flowers have petals.,generic_universal,True,generic universal
None of the ancient civilizations lasted forever.,negative_universal,True,negative universal
"If the economy improves, then the job market will become more competitive.",conditional,False,none
Leaves fall from trees in autumn.,control,False,none
Any vehicle that exceeds the speed limit will be pulled over by the police.,any_universal,True,any universal
The singer performs on stage tonight.,control,False,none
None of the restaurants in the city serve vegan options.,negative_universal,True,negative universal
Steam rises from hot coffee.,control,False,none
Forests provide habitats for wildlife.,generic_universal,True,generic universal
No one is immune to the effects of stress.,negative_universal,True,negative universal
"If the stock market is volatile, then investors may experience significant gains or losses.",conditional,False,none
The athlete trains every day.,control,False,none
Any guest who stays at our hotel will receive a complimentary breakfast.,any_universal,True,any universal
Any natural disaster that occurs will be responded to by the emergency services.,any_universal,True,any universal
Each person needs to drink water to survive.,pure_universal,True,pure universal
"If you're interested in learning a new language, then you should immerse yourself in it as much as possible.",conditional,False,none
Every athlete on the team must undergo drug testing.,restricted_universal,True,restricted universal
"If the car needs repairs, then we should take it to the mechanic.",conditional,False,none
The writer works on her novel.,control,False,none
Nothing can stop the determined mind.,negative_universal,True,negative universal
Any decision made by the board of directors will be in the best interest of the organization.,any_universal,True,any universal
She speaks three languages fluently.,control,False,none
"If you exercise regularly, then you will stay healthy.",conditional,False,none
Every country has a national flag.,pure_universal,True,pure universal
Comets have a tail of gas and dust.,generic_universal,True,generic universal
Any customer who is unsatisfied with their purchase can request a refund.,any_universal,True,any universal
"If you save money, then you can afford to take a vacation.",conditional,False,none
Children play in the playground.,control,False,none
Shadows lengthen at sunset.,control,False,none
"If the new employee performs well, then they may receive a promotion.",conditional,False,none
"If you water the plants regularly, then they will grow healthier.",conditional,False,none
Any work of art displayed in the gallery can be purchased by the public.,any_universal,True,any universal
All visitors to the museum must follow the posted rules and regulations.,restricted_universal,True,restricted universal
Volcanoes erupt molten rock.,generic_universal,True,generic universal
All living things need water to survive.,pure_universal,True,pure universal
Every square has four equal sides.,pure_universal,True,pure universal
All employees at the company must wear a uniform.,restricted_universal,True,restricted universal
Traffic is heavy during rush hour.,control,False,none
"If the customer's feedback is positive, then we can use it for marketing purposes.",conditional,False,none
All patients in the intensive care unit are monitored closely.,restricted_universal,True,restricted universal
The movie starts at seven thirty.,control,False,none
Worms live underground.,generic_universal,True,generic universal
The student takes notes carefully.,control,False,none
"If a triangle has two equal sides, then it is an isosceles triangle.",conditional,False,none
Each season has its own distinct weather patterns.,pure_universal,True,pure universal
None of the planets in our solar system are habitable for humans.,negative_universal,True,negative universal
"If the car's engine overheats, then it may cause damage to the vehicle.",conditional,False,none
"If a quadrilateral has four right angles, then it is a rectangle.",conditional,False,none
John walks to work most days.,control,False,none
Bones provide structure for the body.,generic_universal,True,generic universal
All humans need oxygen to breathe.,pure_universal,True,pure universal
"If you're feeling overwhelmed, then you should take a break and practice self-care.",conditional,False,none
Wind blows through the trees.,control,False,none
Every participant in the marathon must complete the course within a specified time limit.,restricted_universal,True,restricted universal
"No matter how hard you try, nothing is guaranteed.",negative_universal,True,negative universal
The train arrives at platform three.,control,False,none
Every sport has its own set of rules and regulations.,pure_universal,True,pure universal
The electrician fixes the wiring.,control,False,none
The mailman delivers letters daily.,control,False,none
Here are 40 varied conditional sentences using the if-then structure:,conditional,False,none
Mirrors reflect light.,generic_universal,True,generic universal
None of the contestants won the grand prize.,negative_universal,True,negative universal
Planets orbit around stars.,generic_universal,True,generic universal
The coffee shop serves excellent pastries.,control,False,none
All visitors to the art gallery must check their belongings at the entrance.,restricted_universal,True,restricted universal
Clouds block the sun's rays.,generic_universal,True,generic universal
Icebergs float on water.,generic_universal,True,generic universal
Apples grow on trees.,generic_universal,True,generic universal
Satellites orbit the Earth.,generic_universal,True,generic universal
Birds sing in the morning.,control,False,none
The meeting lasted two hours.,control,False,none
All employees in the finance department must have a background in accounting.,restricted_universal,True,restricted universal
Every human being has the right to education.,pure_universal,True,pure universal
Nothing can prepare you for the loss of a loved one.,negative_universal,True,negative universal
"If you follow the recipe, then the cake will turn out perfectly.",conditional,False,none
None of the decisions made by the committee were unanimous.,negative_universal,True,negative universal
Every dog has four legs.,pure_universal,True,pure universal
"If you don't get enough sleep, then you will feel tired.",conditional,False,none
"If you miss the bus, then you will be late for work.",conditional,False,none
Muscles contract to produce movement.,generic_universal,True,generic universal
She teaches mathematics at the university.,control,False,none
All residents of the apartment complex must follow the building's noise ordinance.,restricted_universal,True,restricted universal
Any recipe in this cookbook can be easily prepared at home.,any_universal,True,any universal
"If you don't wear a seatbelt, then you're at risk of injury in an accident.",conditional,False,none
Every tenant in the apartment building must follow the building's pet policy.,restricted_universal,True,restricted universal
Every car has a steering wheel and pedals.,pure_universal,True,pure universal
"If the weather forecast predicts rain, then you should bring an umbrella.",conditional,False,none
Leaves change color in the fall.,generic_universal,True,generic universal
He jogs three miles each morning.,control,False,none
"If you are kind to others, then they will be kind to you.",conditional,False,none
"If the product is defective, then the customer can return it for a replacement.",conditional,False,none
"If you exercise regularly, then you will stay healthy.",conditional,False,none
"If the customer's order is incorrect, then they can request a refund.",conditional,False,none
"If the computer freezes, then we need to restart it.",conditional,False,none
The park is crowded on weekends.,control,False,none
Rainbows appear after a rainstorm.,generic_universal,True,generic universal
Snowflakes have a hexagonal shape.,generic_universal,True,generic universal
Customers wait patiently in line.,control,False,none
Any employee who works overtime will receive additional compensation.,any_universal,True,any universal
Ants live in colonies.,generic_universal,True,generic universal
Waves crash against the shoreline.,generic_universal,True,generic universal
"If the recipe includes gluten, then people with celiac disease should avoid it.",conditional,False,none
All books in the university library are available for checkout.,restricted_universal,True,restricted universal
Fresh vegetables are available at the market.,control,False,none
Every driver in the city must display a valid parking permit.,restricted_universal,True,restricted universal
Nothing is more important than family.,negative_universal,True,negative universal
"If a number is a multiple of 6, then it is also a multiple of 2 and 3.",conditional,False,none
No one is immune to the effects of aging.,negative_universal,True,negative universal
All residents of the senior living community have access to recreational activities.,restricted_universal,True,restricted universal
Each flower has a unique color and shape.,pure_universal,True,pure universal
"If you're feeling creative, then you should try a new hobby or project.",conditional,False,none
All planets in our solar system orbit the sun.,pure_universal,True,pure universal
All clouds are made up of water droplets or ice crystals.,pure_universal,True,pure universal
"If you don't turn off the lights, then your electricity bill will be higher.",conditional,False,none
"If a quadrilateral has two pairs of parallel sides, then it is a parallelogram.",conditional,False,none
Any tool in the toolbox can be used for the repair work.,any_universal,True,any universal
"If the weather forecast predicts rain, then we should bring an umbrella.",conditional,False,none
The dentist examines teeth carefully.,control,False,none
The television broadcasts news hourly.,control,False,none
All apples are fruit.,pure_universal,True,pure universal
Roots absorb water and nutrients.,generic_universal,True,generic universal
Each classroom has a teacher.,pure_universal,True,pure universal
The sun sets behind the mountains.,control,False,none
Magnets attract certain metals.,generic_universal,True,generic universal
No person is perfect.,negative_universal,True,negative universal
Any animal that is mistreated will be reported to the appropriate authorities.,any_universal,True,any universal
No person is above the law.,negative_universal,True,negative universal
"If the customer is satisfied, then they may return for more business.",conditional,False,none
Each month has a specific number of days.,pure_universal,True,pure universal
