text,type,has_conditional,text_length,word_count,has_if,has_then,has_and,has_or,has_not,has_because,has_when
"If the test is hard, then The student will work more.",simple_conditional,True,53,11,True,True,False,True,False,False,False
"If it is sunny, then we stay inside.",simple_conditional,True,36,8,True,True,False,False,False,False,False
"If the test is hard, then He will play more.",simple_conditional,True,44,10,True,True,False,True,False,False,False
"If The student reads the book, then everyone is happy.",simple_conditional,True,54,10,True,True,False,False,False,False,False
"If it rains, then the game continues.",simple_conditional,True,37,7,True,True,False,False,False,False,False
"If He works a song, then everyone is happy.",simple_conditional,True,43,9,True,True,False,True,False,False,False
"If He sings deeply, then everyone is happy.",simple_conditional,True,43,8,True,True,False,False,False,False,False
"If the test is hard, then Mary will run more.",simple_conditional,True,45,10,True,True,False,True,False,False,False
"If The student works the book, then everyone is happy.",simple_conditional,True,54,10,True,True,False,True,False,False,False
"If She writes quickly, then everyone is happy.",simple_conditional,True,46,8,True,True,False,False,False,False,False
"If it is cloudy, then the picnic is canceled.",simple_conditional,True,45,9,True,True,False,False,False,False,False
"If Mary sings carefully, then everyone is happy.",simple_conditional,True,48,8,True,True,False,False,False,False,False
"If the test is hard, then They will play more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If the test is hard, then The cat will play more.",simple_conditional,True,49,11,True,True,False,True,False,False,False
"If it rains, then we go to the beach.",simple_conditional,True,37,9,True,True,False,False,False,False,False
"If the test is hard, then The cat will sing more.",simple_conditional,True,49,11,True,True,False,True,False,False,False
"If the test is hard, then They will read more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If He works deeply, then everyone is happy.",simple_conditional,True,43,8,True,True,False,True,False,False,False
"If She works quickly, then everyone is happy.",simple_conditional,True,45,8,True,True,False,True,False,False,False
"If the test is hard, then He will play more.",simple_conditional,True,44,10,True,True,False,True,False,False,False
"If She sings quickly, then everyone is happy.",simple_conditional,True,45,8,True,True,False,False,False,False,False
"If He works a song, then everyone is happy.",simple_conditional,True,43,9,True,True,False,True,False,False,False
"If the test is hard, then They will study more.",simple_conditional,True,47,10,True,True,False,True,False,False,False
"If John studies the report, then everyone is happy.",simple_conditional,True,51,9,True,True,False,True,False,False,False
"If it snows, then the picnic is canceled.",simple_conditional,True,41,8,True,True,False,False,False,False,False
"If it is sunny, then we stay inside.",simple_conditional,True,36,8,True,True,False,False,False,False,False
"If the test is hard, then She will run more.",simple_conditional,True,44,10,True,True,False,True,False,False,False
"If the test is hard, then She will play more.",simple_conditional,True,45,10,True,True,False,True,False,False,False
"If the test is hard, then Mary will play more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If the test is hard, then The student will read more.",simple_conditional,True,53,11,True,True,False,True,False,False,False
"If She studies deeply, then everyone is happy.",simple_conditional,True,46,8,True,True,False,False,False,False,False
"If the test is hard, then He will study more.",simple_conditional,True,45,10,True,True,False,True,False,False,False
"If They studies deeply, then everyone is happy.",simple_conditional,True,47,8,True,True,False,False,False,False,False
"If Mary studies carefully, then everyone is happy.",simple_conditional,True,50,8,True,True,False,False,False,False,False
"If the test is hard, then They will run more.",simple_conditional,True,45,10,True,True,False,True,False,False,False
"If the test is hard, then The student will sing more.",simple_conditional,True,53,11,True,True,False,True,False,False,False
"If the test is hard, then The student will work more.",simple_conditional,True,53,11,True,True,False,True,False,False,False
"If the test is hard, then The team will run more.",simple_conditional,True,49,11,True,True,False,True,False,False,False
"If The student plays deeply, then everyone is happy.",simple_conditional,True,52,9,True,True,False,False,False,False,False
"If it snows, then the picnic is canceled.",simple_conditional,True,41,8,True,True,False,False,False,False,False
"If the test is hard, then They will play more.",simple_conditional,True,46,10,True,True,False,True,False,False,False
"If it is cloudy, then the picnic is canceled.",simple_conditional,True,45,9,True,True,False,False,False,False,False
"If the test is hard, then She will run more.",simple_conditional,True,44,10,True,True,False,True,False,False,False
"If it rains, then we go to the beach.",simple_conditional,True,37,9,True,True,False,False,False,False,False
"If the test is hard, then The team will read more.",simple_conditional,True,50,11,True,True,False,True,False,False,False
"If it is windy, then we stay inside.",simple_conditional,True,36,8,True,True,False,False,False,False,False
"If Mary reads the game, then everyone is happy.",simple_conditional,True,47,9,True,True,False,False,False,False,False
