text,type,has_conditional
"If The team runs because of the deadline, then the project succeeds.",complex_conditional,True
"If it is windy, then we stay inside.",simple_conditional,True
Mary always writes on weekdays.,control,False
"If He studies deeply, then everyone is happy.",simple_conditional,True
He always plays on weekdays.,control,False
"If it snows, then we go to the beach.",simple_conditional,True
John reads hard.,control,False
"If either The team studies or it is sunny, then plans change.",complex_conditional,True
"If it rains, then school closes.",simple_conditional,True
"If P implies Y, and P is true, then Y.",logical_conditional,True
Everyone knows that He reads.,control,False
Everyone knows that John reads.,control,False
"If Mary sings and the weather is good, then Mary will run.",complex_conditional,True
The student always works on weekdays.,control,False
Everyone knows that They sings.,control,False
Everyone knows that He reads.,control,False
He thinks the report.,control,False
They always works on weekdays.,control,False
"If A is true, then the conclusion is true.",logical_conditional,True
"Although The cat sings, if conditions change, then The cat will work.",complex_conditional,True
"If X and not the conclusion, then contradiction.",logical_conditional,True
"If They reads and the weather is good, then They will run.",complex_conditional,True
"If the test is hard, then She will read more.",simple_conditional,True
"If They works and the weather is good, then They will play.",complex_conditional,True
She thinks and enjoys it.,control,False
Everyone knows that He runs.,control,False
The student always works on weekdays.,control,False
"If He thinks because of the deadline, then the project succeeds.",complex_conditional,True
"If She thinks and the weather is good, then She will play.",complex_conditional,True
"If The cat thinks a song, then everyone is happy.",simple_conditional,True
John thinks and enjoys it.,control,False
Everyone knows that The team runs.,control,False
"If the test is hard, then Mary will run more.",simple_conditional,True
Everyone knows that He plays.,control,False
They sings and enjoys it.,control,False
The student thinks a song.,control,False
"If P is true, then the conclusion is true.",logical_conditional,True
"Because of the weather, The cat writes.",control,False
"If P implies Q, and P is true, then Q.",logical_conditional,True
"If either The cat writes or it is sunny, then plans change.",complex_conditional,True
Mary works carefully.,control,False
"Because of the weather, She runs.",control,False
The cat reads the book.,control,False
"Because of the weather, Mary reads.",control,False
"If the statement is true, then B is true.",logical_conditional,True
"If She works quickly, then everyone is happy.",simple_conditional,True
"If Mary studies carefully, then everyone is happy.",simple_conditional,True
"If the test is hard, then She will play more.",simple_conditional,True
"If A is true, then Q is true.",logical_conditional,True
"If X implies the conclusion, and X is true, then the conclusion.",logical_conditional,True
"Because of the weather, Mary reads.",control,False
He reads and enjoys it.,control,False
"If The team thinks carefully, then everyone is happy.",simple_conditional,True
The student always plays on weekdays.,control,False
Everyone knows that Mary runs.,control,False
"Because of the weather, They sings.",control,False
"If The team thinks because of the deadline, then the project succeeds.",complex_conditional,True
The team writes and enjoys it.,control,False
Mary sings deeply.,control,False
They writes hard.,control,False
"If P is true, then Q is true.",logical_conditional,True
"If The student runs because of the deadline, then the project succeeds.",complex_conditional,True
"If He works because of the deadline, then the project succeeds.",complex_conditional,True
The team works and enjoys it.,control,False
Mary studies and enjoys it.,control,False
"If not A, then Y must be false.",logical_conditional,True
"Because of the weather, The team writes.",control,False
"If X is true, then the conclusion is true.",logical_conditional,True
He thinks hard.,control,False
"Because of the weather, They studies.",control,False
"If Mary plays the game, then everyone is happy.",simple_conditional,True
Everyone knows that The cat reads.,control,False
"If The cat plays and the weather is good, then The cat will play.",complex_conditional,True
They thinks carefully.,control,False
Everyone knows that Mary plays.,control,False
Mary reads the book.,control,False
The cat thinks quickly.,control,False
"If The student writes and the weather is good, then The student will play.",complex_conditional,True
"If They studies quickly, then everyone is happy.",simple_conditional,True
"If The cat thinks because of the deadline, then the project succeeds.",complex_conditional,True
"If They sings and the weather is good, then They will run.",complex_conditional,True
Mary writes and enjoys it.,control,False
